# Time-averaged data for fix avgrdf
# TimeStep Number-of-rows
# Row c_h2oRDF[1] c_h2oRDF[2] c_h2oRDF[3] c_h2oRDF[4] c_h2oRDF[5] c_h2oRDF[6] c_h2oRDF[7]
10000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0.000471535 9.76563e-05 0.0157789 0.00163086 0 0
17 1.65 0.00823876 0.00203125 0.331636 0.0404687 0 0
18 1.75 0.0429507 0.0133398 1.25305 0.205527 0 0
19 1.85 0.161744 0.0609375 1.65275 0.448848 0 0
20 1.95 0.403181 0.192734 1.23911 0.651484 0 0
21 2.05 0.725452 0.454785 0.722351 0.782041 0 0
22 2.15 1.03286 0.865137 0.397486 0.861055 0 0
23 2.25 1.23439 1.40219 0.239946 0.913252 0 0
24 2.35 1.30541 2.02166 0.170699 0.95375 0 0
25 2.45 1.25892 2.67086 0.145135 0.991182 0.00166784 0.000429688
26 2.55 1.10126 3.28609 0.167825 1.03812 0.215146 0.0605078
27 2.65 0.944621 3.85607 0.246363 1.11256 1.66663 0.562891
28 2.75 0.794715 4.37254 0.405727 1.24455 3.26968 1.62426
29 2.85 0.714978 4.87174 0.661717 1.4758 2.8687 2.62438
30 2.95 0.709465 5.4024 1.01773 1.85688 1.76082 3.28207
31 3.05 0.746661 5.9993 1.37247 2.40607 1.08748 3.71625
32 3.15 0.807544 6.68777 1.57902 3.07996 0.833362 4.07105
33 3.25 0.884025 7.49014 1.57191 3.79396 0.763 4.4168
34 3.35 0.961089 8.41687 1.47342 4.50505 0.745134 4.7757
35 3.45 1.04312 9.48365 1.34568 5.19383 0.773198 5.17082
36 3.55 1.13194 10.7095 1.23054 5.86062 0.831889 5.62102
37 3.65 1.16996 12.0487 1.13307 6.50971 0.87864 6.12379
38 3.75 1.19103 13.4878 1.06608 7.15436 0.926403 6.68336
39 3.85 1.18 14.9906 1.03724 7.81539 0.982201 7.30859
40 3.95 1.14483 16.525 1.01918 8.49914 1.036 8.00254
41 4.05 1.10242 18.0786 1.0102 9.21165 1.08301 8.76504
42 4.15 1.06489 19.6541 1.01084 9.96018 1.12916 9.59957
43 4.25 1.0492 21.282 1.01134 10.7456 1.16889 10.5053
44 4.35 1.03731 22.968 1.00449 11.5629 1.17682 11.4604
45 4.45 1.03829 24.7341 1.00157 12.4157 1.17209 12.4557
46 4.55 1.03063 26.5668 0.98858 13.2957 1.14559 13.4727
47 4.65 1.01494 28.452 0.977636 14.2045 1.12547 14.5164
48 4.75 1.01226 30.414 0.98013 15.1552 1.08808 15.5695
49 4.85 1.00192 32.4388 0.976653 16.1427 1.05003 16.6293
50 4.95 0.988952 34.5207 0.972722 17.1672 1.00382 17.6846
51 5.05 0.975987 36.6592 0.977416 18.2387 0.967469 18.7433
52 5.15 0.967037 38.8627 0.974105 19.3492 0.93857 19.8115
53 5.25 0.953308 41.1201 0.978304 20.5083 0.91319 20.8918
54 5.35 0.949549 43.4552 0.979469 21.7137 0.88709 21.9814
55 5.45 0.949223 45.8775 0.972301 22.9555 0.863975 23.0827
56 5.55 0.958074 48.4128 0.972811 24.2442 0.86654 24.2283
57 5.65 0.963526 51.0555 0.969851 25.5758 0.853599 25.3979
58 5.75 0.968943 53.808 0.963783 26.9464 0.870706 26.6335
59 5.85 0.977727 56.683 0.967283 28.3703 0.88018 27.9264
60 5.95 0.984101 59.6764 0.965258 29.8401 0.917117 29.3204
61 6.05 0.991451 62.7946 0.965847 31.3606 0.938076 30.7944
62 6.15 0.994933 66.028 0.971148 32.9404 0.976584 32.3802
63 6.25 0.999623 69.3832 0.97689 34.5813 0.996297 34.051
64 6.35 1.00168 72.8535 0.986422 36.2918 1.02642 35.8283
65 6.45 1.00625 76.4504 0.992417 38.0674 1.05876 37.7193
66 6.55 1.0094 80.1711 1.00286 39.9177 1.07109 39.692
67 6.65 1.00898 84.0045 1.01151 41.8413 1.08643 41.7545
68 6.75 1.00621 87.9432 1.02142 43.8425 1.08607 43.8784
69 6.85 1.01113 92.0194 1.02661 45.9139 1.08417 46.0614
70 6.95 1.01382 96.2263 1.0299 48.0528 1.08124 48.3022
71 7.05 1.01365 100.554 1.03385 50.2619 1.07817 50.6011
72 7.15 1.01334 105.005 1.03592 52.5386 1.06643 52.9401
73 7.25 1.01283 109.579 1.03742 54.8828 1.04611 55.2991
74 7.35 1.01521 114.29 1.02652 57.2667 1.04173 57.7134
75 7.45 1.01647 119.137 1.0291 59.7221 1.02007 60.142
76 7.55 1.01725 124.119 1.02191 62.2265 0.999979 62.5875
77 7.65 1.01484 129.221 1.0134 64.7762 0.985691 65.0617
78 7.75 1.01069 134.436 1.00728 67.3775 0.979128 67.5844
79 7.85 1.00765 139.77 1.00184 70.0319 0.972793 70.156
80 7.95 1.00231 145.212 0.996567 72.7403 0.968718 72.7825
81 8.05 1.00086 150.784 0.991165 75.5021 0.963757 75.4624
82 8.15 0.996926 156.472 0.982914 78.3092 0.95925 78.197
83 8.25 0.996436 162.299 0.98307 81.1865 0.961935 81.0074
84 8.35 0.990955 168.234 0.983363 84.1345 0.965302 83.8965
85 8.45 0.991431 174.316 0.978831 87.1398 0.97922 86.898
86 8.55 0.989422 180.53 0.979792 90.2196 0.976748 89.9633
87 8.65 0.988992 186.888 0.981071 93.376 0.986685 93.1323
88 8.75 0.989225 193.395 0.981214 96.6063 0.985645 96.3719
89 8.85 0.989431 200.053 0.985752 99.9262 0.994698 99.7161
90 8.95 0.989729 206.865 0.988436 103.331 1.00236 103.163
91 9.05 0.994135 213.861 0.99058 106.82 1.00608 106.699
92 9.15 0.99526 221.02 0.993441 110.396 1.0165 110.352
93 9.25 0.997767 228.354 0.999002 114.072 1.01687 114.086
94 9.35 0.998592 235.855 1.00078 117.834 1.01147 117.88
95 9.45 1.00017 243.529 1.00031 121.675 1.01576 121.773
96 9.55 1.00351 251.392 1.00799 125.629 1.01191 125.733
97 9.65 1.00425 259.427 1.00778 129.664 1.01108 129.773
98 9.75 1.00587 267.642 1.00999 133.793 1.00286 133.864
99 9.85 1.00877 276.051 1.01003 138.007 1.01302 138.081
100 9.95 1.00429 284.593 1.00848 142.3 1.00828 142.365
20000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0.00010867 1.95313e-05 0.000109571 9.76563e-06 0 0
