# Time-averaged data for fix avgrdf
# TimeStep Number-of-rows
# Row c_h2oRDF[1] c_h2oRDF[2] c_h2oRDF[3] c_h2oRDF[4] c_h2oRDF[5] c_h2oRDF[6] c_h2oRDF[7]
10000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
96 9.55 1.0007 251.879 1.01066 125.889 1.01018 125.983
97 9.65 1.00485 259.933 1.01008 129.941 1.00161 129.993
98 9.75 1.00373 268.145 1.01082 134.08 1.00376 134.095
99 9.85 1.00447 276.532 1.01105 138.305 1.0107 138.31
100 9.95 1.00579 285.102 1.00987 142.612 1.00997 142.608
20000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0.00038244 7.8125e-05 0.0125237 0.0012793 0 0
17 1.65 0.0061576 0.00150391 0.36219 0.0431836 0 0
18 1.75 0.0425103 0.0125586 1.41809 0.227686 0 0
19 1.85 0.160014 0.059043 1.86685 0.499102 0 0
20 1.95 0.402032 0.188828 1.31032 0.710752 0 0
21 2.05 0.752781 0.457363 0.696405 0.835068 0 0
22 2.15 1.10585 0.89123 0.341677 0.902158 0 0
23 2.25 1.32793 1.4618 0.1853 0.942002 0 0
24 2.35 1.41027 2.12279 0.121177 0.97043 0 0
25 2.45 1.30044 2.78529 0.0999649 0.995918 0.00138422 0.000351562
26 2.55 1.10667 3.39604 0.121621 1.02952 0.212678 0.0589844
27 2.65 0.889714 3.92629 0.192002 1.08682 1.83723 0.606016
28 2.75 0.72372 4.39082 0.344266 1.19742 3.60655 1.76227
29 2.85 0.643766 4.83461 0.606867 1.40684 3.02025 2.80223
30 2.95 0.633223 5.30232 1.00174 1.77717 1.7076 3.43215
31 3.05 0.681296 5.84025 1.40304 2.33156 0.923603 3.79637
32 3.15 0.760607 6.48086 1.62539 3.0166 0.656019 4.07234
33 3.25 0.849918 7.24275 1.61052 3.73916 0.588059 4.3357
34 3.35 0.939551 8.13766 1.46134 4.43578 0.604263 4.62324
35 3.45 1.04353 9.19178 1.32151 5.10389 0.675207 4.96395
36 3.55 1.1223 10.3921 1.18515 5.73827 0.73917 5.35891
37 3.65 1.18402 11.7308 1.10207 6.3619 0.8215 5.82293
38 3.75 1.19797 13.1605 1.04256 6.98463 0.889555 6.35328
39 3.85 1.18646 14.653 1.01129 7.62134 0.955362 6.95359
40 3.95 1.14545 16.1697 1.01058 8.29104 1.04172 7.64258
41 4.05 1.09763 17.6976 1.01477 8.99801 1.11046 8.41473
42 4.15 1.06337 19.2518 1.02697 9.74925 1.17658 9.27367
43 4.25 1.04948 20.8605 1.01646 10.5291 1.22188 10.2092
44 4.35 1.04987 22.5464 1.012 11.3424 1.23943 11.2034
45 4.45 1.04912 24.3095 1.00631 12.1888 1.24666 12.2499
46 4.55 1.04699 26.1488 0.991895 13.0609 1.22337 13.3234
47 4.65 1.04094 28.0589 0.988838 13.969 1.17986 14.4048
48 4.75 1.03742 30.0453 0.98713 14.915 1.13929 15.4944
49 4.85 1.01583 32.0731 0.986772 15.9008 1.07339 16.5646
50 4.95 1.00195 34.1565 0.991041 16.9322 1.03032 17.6348
51 5.05 0.984243 36.2866 0.998496 18.0138 0.98334 18.6978
52 5.15 0.970484 38.471 0.997434 19.1374 0.935355 19.7493
53 5.25 0.960893 40.7185 0.999352 20.3073 0.897776 20.7983
54 5.35 0.948313 43.0219 1.00095 21.5241 0.870968 21.8551
55 5.45 0.953074 45.4242 0.997669 22.7827 0.842072 22.9154
56 5.55 0.95729 47.9266 0.989022 24.0766 0.821275 23.9877
57 5.65 0.964921 50.5407 0.982978 25.4093 0.832414 25.1142
58 5.75 0.970336 53.2633 0.975745 26.7795 0.836904 26.2872
59 5.85 0.973331 56.0901 0.958469 28.1727 0.860664 27.5359
60 5.95 0.986721 59.0546 0.956463 29.6109 0.905716 28.8952
61 6.05 0.991967 62.1358 0.952004 31.091 0.938602 30.3515
62 6.15 0.98769 65.3061 0.953901 32.6234 0.975209 31.915
63 6.25 0.99342 68.5993 0.954938 34.2078 1.02114 33.6059
64 6.35 0.997906 72.014 0.962584 35.8563 1.05733 35.4132
65 6.45 0.996912 75.5336 0.973764 37.577 1.06723 37.2953
66 6.55 0.998457 79.1688 0.986678 39.3749 1.08651 39.2713
67 6.65 1.00328 82.934 0.995727 41.2451 1.09713 41.3279
68 6.75 1.00392 86.8157 1.00627 43.1925 1.09732 43.4473
69 6.85 1.00767 90.8283 1.02334 45.2319 1.09123 45.6178
70 6.95 1.01165 94.9752 1.03026 47.3455 1.0768 47.8224
71 7.05 1.00975 99.2342 1.03556 49.5316 1.05778 50.051
72 7.15 1.01496 103.638 1.03823 51.7859 1.04067 52.3062
73 7.25 1.01317 108.157 1.03782 54.1028 1.02059 54.5802
74 7.35 1.01208 112.797 1.04042 56.49 1.00433 56.8802
75 7.45 1.00973 117.553 1.03492 58.9297 0.993512 59.2177
76 7.55 1.01093 122.443 1.02955 61.4223 0.98063 61.5871
77 7.65 1.01193 127.469 1.01802 63.9527 0.970705 63.9952
78 7.75 1.0117 132.625 1.01544 66.543 0.971171 66.4679
79 7.85 1.00934 137.903 1.00524 69.1741 0.975481 69.0161
80 7.95 1.0077 143.308 0.997117 71.8506 0.975978 71.6308
81 8.05 1.00724 148.847 0.992897 74.5834 0.981709 74.3276
82 8.15 1.00644 154.52 0.987908 77.3704 0.98034 77.0879
83 8.25 1.00474 160.323 0.984743 80.2171 0.985327 79.9307
84 8.35 1.00127 166.248 0.98184 83.1246 1.00094 82.8889
85 8.45 0.999394 172.303 0.980342 86.0976 1.00388 85.9273
86 8.55 0.997211 178.49 0.979541 89.1389 0.999982 89.0259
87 8.65 0.991892 184.788 0.97938 92.2512 1.01322 92.2395
88 8.75 0.992153 191.234 0.983487 95.4493 1.00714 95.5082
89 8.85 0.98867 197.805 0.989068 98.7394 1.00453 98.8432
90 8.95 0.989341 204.531 0.991007 102.111 1.01088 102.276
91 9.05 0.988692 211.402 0.991202 105.559 0.997188 105.738
92 9.15 0.991158 218.444 0.996648 109.103 0.997147 109.276
93 9.25 0.992998 225.655 1.00342 112.75 0.995311 112.887
94 9.35 0.9921 233.015 1.0003 116.464 1.00027 116.593
95 9.45 0.99477 240.553 1.0062 120.28 0.991089 120.345
96 9.55 0.997843 248.276 1.0051 124.174 0.994206 124.189
97 9.65 1.00034 256.182 1.00806 128.161 0.991853 128.104
98 9.75 1.00533 264.292 1.00743 132.228 0.990266 132.094
99 9.85 1.00676 272.581 1.00515 136.37 1.00117 136.212
100 9.95 1.0062 281.035 1.00478 140.595 1.0008 140.412
30000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0.000289173 5.85937e-05 0.0152826 0.00155273 0 0
17 1.65 0.0052618 0.00126953 0.372081 0.0443848 0 0
18 1.75 0.0394883 0.0114844 1.46096 0.233555 0 0
19 1.85 0.155435 0.0564258 1.90452 0.509141 0 0
20 1.95 0.406624 0.187051 1.29684 0.717598 0 0
21 2.05 0.762635 0.457773 0.695489 0.841152 0 0
22 2.15 1.11496 0.893086 0.33671 0.906943 0 0
23 2.25 1.36468 1.47666 0.181437 0.945771 0 0
24 2.35 1.42886 2.14316 0.1136 0.972295 0 0
25 2.45 1.31204 2.80834 0.0961841 0.996699 0.00138836 0.000351562
26 2.55 1.08973 3.40686 0.112187 1.02754 0.218843 0.0603906
27 2.65 0.876956 3.92701 0.187731 1.08327 1.85134 0.608945
28 2.75 0.70302 4.37604 0.331388 1.18923 3.70774 1.79199
29 2.85 0.62266 4.8032 0.596597 1.39409 3.01959 2.82668
30 2.95 0.628383 5.26512 0.985144 1.75651 1.69318 3.44828
31 3.05 0.663667 5.78656 1.40157 2.30767 0.901748 3.80215
32 3.15 0.750364 6.41541 1.63477 2.99333 0.62701 4.06465
33 3.25 0.846369 7.17049 1.61235 3.71323 0.563783 4.3159
34 3.35 0.939124 8.06062 1.4682 4.40973 0.591994 4.59621
35 3.45 1.04096 9.10707 1.30981 5.06871 0.637013 4.91609
36 3.55 1.12398 10.3034 1.18429 5.69961 0.719472 5.29863
37 3.65 1.17834 11.6293 1.09352 6.31542 0.786213 5.74055
38 3.75 1.20362 13.0588 1.03219 6.92898 0.877708 6.26125
39 3.85 1.18467 14.5419 1.01505 7.56495 0.947021 6.85344
40 3.95 1.14708 16.0534 1.01173 8.23223 1.03192 7.53273
41 4.05 1.11261 17.5948 1.01293 8.9345 1.11201 8.30219
42 4.15 1.07165 19.1535 1.01721 9.675 1.18087 9.1602
43 4.25 1.0523 20.7589 1.01601 10.4507 1.23604 10.1021
44 4.35 1.0497 22.4364 1.01357 11.2614 1.25273 11.1021
45 4.45 1.05094 24.1941 1.00761 12.1048 1.26589 12.1596
46 4.55 1.05094 26.0315 0.999086 12.9791 1.25421 13.255
47 4.65 1.04401 27.938 0.998668 13.8918 1.21214 14.3606
48 4.75 1.03717 29.9144 0.997441 14.8431 1.15613 15.461
49 4.85 1.01955 31.9398 0.997749 15.8352 1.09584 16.5484
50 4.95 1.00324 34.0159 1.00838 16.8796 1.0423 17.6258
51 5.05 0.9834 36.1339 1.00977 17.968 0.983382 18.6837
52 5.15 0.968885 38.3041 1.01003 19.1003 0.940405 19.7359
53 5.25 0.966791 40.5546 1.00972 20.2767 0.902874 20.7858
54 5.35 0.955715 42.8649 1.00437 21.4917 0.869967 21.8362
55 5.45 0.953509 45.2568 0.994875 22.7408 0.829127 22.8752
56 5.55 0.956748 47.7457 0.982048 24.0194 0.8293 23.9528
57 5.65 0.966331 50.3509 0.976043 25.3363 0.822697 25.0607
58 5.75 0.971463 53.0635 0.961151 26.6796 0.83063 26.2193
59 5.85 0.977811 55.8896 0.951829 28.0565 0.855798 27.4549
60 5.95 0.982885 58.8282 0.948546 29.4758 0.879157 28.7679
61 6.05 0.987399 61.8804 0.944188 30.9366 0.932743 30.2081
62 6.15 0.985708 65.029 0.945669 32.4484 0.970176 31.7561
63 6.25 0.988494 68.2901 0.947462 34.0128 1.0079 33.4169
64 6.35 0.987957 71.6545 0.960096 35.6491 1.03747 35.1817
65 6.45 0.99505 75.1507 0.97684 37.3668 1.0582 37.0389
66 6.55 0.992876 78.7481 0.984974 39.1531 1.08518 39.0029
67 6.65 0.998462 82.4771 0.994943 41.0128 1.08829 41.0332
68 6.75 1.00225 86.3337 1.01304 42.9637 1.10281 43.1529
69 6.85 1.00427 90.3134 1.01794 44.9827 1.09018 45.3108
70 6.95 1.00599 94.4172 1.029 47.0836 1.07632 47.5041
71 7.05 1.0104 98.6584 1.03587 49.2598 1.07299 49.7537
72 7.15 1.01301 103.032 1.0348 51.4958 1.04436 52.0061
73 7.25 1.01363 107.532 1.03863 53.8034 1.01677 54.2607
74 7.35 1.01478 112.162 1.03622 56.1696 1.00516 56.5514
75 7.45 1.0115 116.903 1.03549 58.5988 0.998232 58.8886
76 7.55 1.01153 121.773 1.02835 61.0765 0.988379 61.2654
77 7.65 1.01486 126.789 1.02025 63.6002 0.976755 63.6767
78 7.75 1.00716 131.897 1.01311 66.1722 0.972759 66.1415
79 7.85 1.01277 137.168 1.00827 68.7984 0.969089 68.6608
80 7.95 1.00944 142.556 0.999127 71.4675 0.977738 71.2677
81 8.05 1.00959 148.082 0.994543 74.1916 0.98779 73.9682
82 8.15 1.01102 153.753 0.990315 76.972 0.985232 76.7289
83 8.25 1.003 159.518 0.985444 79.807 0.993974 79.5829
84 8.35 1.00598 165.442 0.985722 82.7119 0.996949 82.5151
85 8.45 1.00072 171.476 0.984578 85.6834 1.00853 85.5529
86 8.55 0.995298 177.621 0.986831 88.7326 1.00602 88.6553
87 8.65 0.99621 183.916 0.985995 91.8509 1.00692 91.8336
88 8.75 0.992399 190.333 0.991809 95.0605 1.0046 95.0782
89 8.85 0.995595 196.918 0.992327 98.3456 1.00418 98.396
90 8.95 0.993321 203.638 0.992449 101.706 1.01166 101.814
91 9.05 0.994973 210.52 0.997449 105.159 1.00961 105.303
92 9.15 0.995408 217.558 0.998126 108.691 1.00938 108.868
93 9.25 0.99891 224.776 1.00089 112.311 0.999498 112.475
94 9.35 0.998134 232.146 1.00415 116.021 0.998005 116.156
95 9.45 0.998345 239.675 1.00546 119.816 0.993333 119.898
96 9.55 0.999871 247.376 1.00381 123.686 0.988953 123.703
97 9.65 0.998238 255.227 1.00513 127.642 0.995806 127.615
98 9.75 0.997633 263.236 1.00482 131.68 0.995473 131.607
99 9.85 0.998803 271.42 1.00349 135.795 0.989218 135.656
100 9.95 1.00058 279.786 1.0021 139.988 0.990164 139.791
40000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
