# Time-averaged data for fix noavgmsd
# TimeStep c_h2oMSD[1] c_h2oMSD[2] c_h2oMSD[3] c_h2oMSD[4]
0 0 0 0 0
1000 1.61077 1.53097 1.53635 4.67808
2000 1.88759 1.69806 1.74044 5.32608
3000 2.09729 1.94827 1.9387 5.98426
4000 2.39224 2.15719 2.32003 6.86946
5000 2.84097 2.40218 2.62131 7.86446
6000 2.66521 2.38842 2.48862 7.54224
7000 2.90493 2.51731 2.47816 7.9004
8000 2.76519 2.65736 2.68777 8.11032
9000 2.8833 2.84635 2.64247 8.37213
10000 3.02119 2.90272 2.8416 8.76551
11000 3.11223 2.92553 2.97614 9.0139
12000 3.163 3.06273 2.94965 9.17538
13000 3.1199 3.07826 3.08106 9.27921
14000 3.07056 3.26423 3.1406 9.47539
15000 3.2522 3.48387 3.27232 10.0084
16000 3.36726 3.50614 3.15361 10.027
17000 3.51557 3.5522 3.40046 10.4682
18000 3.49491 3.54234 3.33025 10.3675
19000 3.73165 3.51591 3.66827 10.9158
20000 3.87738 3.63694 3.49714 11.0115
21000 3.79449 3.71228 3.61841 11.1252
22000 3.81532 3.99436 3.76662 11.5763
23000 4.07976 4.05998 4.05034 12.1901
24000 4.06607 4.15313 3.91725 12.1365
25000 4.00729 3.9857 4.27783 12.2708
26000 4.14233 4.18096 4.24726 12.5705
27000 4.14736 4.35139 4.48422 12.983
28000 4.2193 4.24663 4.59712 13.063
29000 4.30198 4.41099 4.66521 13.3782
30000 4.51539 4.66672 4.78934 13.9714
31000 4.45059 4.69086 4.94461 14.0861
32000 4.58276 4.97108 4.92707 14.4809
33000 4.59829 5.24124 4.94687 14.7864
34000 4.67687 5.10708 5.27005 15.054
35000 4.67808 5.02722 5.4329 15.1382
36000 4.98294 5.5358 5.24933 15.7681
37000 4.88602 5.61602 5.31809 15.8201
38000 5.13354 5.72608 5.57343 16.433
39000 5.118 5.71156 5.60522 16.4348
40000 5.27799 6.08053 5.4376 16.7961
41000 5.48778 6.40796 5.54253 17.4383
42000 5.40515 6.29885 5.79032 17.4943
43000 5.55739 6.28583 5.97047 17.8137
44000 5.67759 6.48992 6.05078 18.2183
45000 5.83865 6.61973 6.12072 18.5791
46000 6.18186 6.38074 6.08382 18.6464
47000 6.34272 6.83238 6.10117 19.2763
48000 6.24051 6.8792 6.54436 19.6641
49000 6.56743 6.98989 6.37219 19.9295
50000 6.44993 7.09417 6.26609 19.8102
51000 6.54993 7.36431 6.59815 20.5124
52000 6.98726 7.27361 6.73297 20.9938
53000 7.06053 7.4794 6.52538 21.0653
54000 7.25322 7.67132 6.69246 21.617
55000 7.41076 7.6813 6.5785 21.6706
56000 7.14136 7.50973 6.64109 21.2922
57000 7.27836 7.85241 6.81685 21.9476
58000 7.0276 7.54345 6.93908 21.5101
59000 7.42754 7.78925 7.05887 22.2757
